locus,length,segSites,nHaps,nucDiv,ttRatio,model,gammaShape,rate1,rate2,rate3,rate4,Q1,Q2,Q3
L12438_,309,1,2,0.001151461223260186,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L12444_,300,4,6,0.0016180150125104252,3,JC,1,1,NA,NA,NA,1,NA,NA
L12634_,301,1,2,1.2381451897199556e-4,0,F81,1,1,NA,NA,NA,1,NA,NA
L12731_,305,1,2,9.36373531615329e-4,0,F81,1,1,NA,NA,NA,1,NA,NA
L12747_,318,4,5,0.001207716387032484,3,F81,1,1,NA,NA,NA,1,NA,NA
L1275_,304,2,3,4.204183758574322e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L12816_,310,3,4,0.001306644425910481,2,JC,1,1,NA,NA,NA,1,NA,NA
L12847_,391,1,2,1.4053706172466557e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L12859_,345,1,2,1.0755231349507674e-4,Inf,F81,1,1,NA,NA,NA,1,NA,NA
L12926_,379,1,2,1.451073726750612e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L12965_,396,3,4,9.589165409862277e-4,2,JC,1,1,NA,NA,NA,1,NA,NA
L13207_,301,4,5,0.0018560713538487111,1,F81,1,1,NA,NA,NA,1,NA,NA
L13260_,303,1,2,4.645509483158605e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L13325_,395,4,5,0.0012785546396889183,Inf,K80,1,1,NA,NA,NA,1,22026.465794806718,NA
L13441_,310,1,2,0.0014128440366972478,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L1351_,301,4,5,0.0017849926485129358,1,JC,1,1,NA,NA,NA,1,NA,NA
L13704_,308,3,4,0.0013036590895097143,2,JC,1,1,NA,NA,NA,1,NA,NA
L13899_,301,5,5,0.0031056808508808887,4,JC,1,1,NA,NA,NA,1,NA,NA
L13958_,349,2,3,0.0015927727383439002,Inf,F81,1,1,NA,NA,NA,1,NA,NA
L13974_,303,1,2,1.8274614510954806e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L14061_,300,2,3,0.001593281757786661,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L14250_,302,2,3,7.340592045882985e-4,1,JC,1,1,NA,NA,NA,1,NA,NA
L14330_,307,1,2,1.802849175659851e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L1443_,426,2,3,1.6915504704624745e-4,1,JC,1,1,NA,NA,NA,1,NA,NA
L14507_,305,1,2,2.397478124425722e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L14540_,413,2,3,1.345207027361511e-4,1,JC,1,1,NA,NA,NA,1,NA,NA
L14588_,443,2,3,8.679288167391224e-4,Inf,F81,1,1,NA,NA,NA,1,NA,NA
L14704_,353,5,4,0.001745380625740109,4,JC,1,1,NA,NA,NA,1,NA,NA
L14737_,252,2,3,3.528072335411785e-4,1,F81,1,1,NA,NA,NA,1,NA,NA
L14871_,311,1,2,2.909401245223733e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L14969_,302,1,2,6.220937539273596e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L14977_,382,3,4,5.223887289587201e-4,2,JC,1,1,NA,NA,NA,1,NA,NA
L15007_,336,3,4,3.305412997538849e-4,Inf,K80,1,1,NA,NA,NA,1,22026.465794806718,NA
L15068_,409,1,2,0.0011939774373381324,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L15079_,304,3,4,4.856654922185721e-4,0.5,JC,1,1,NA,NA,NA,1,NA,NA
L15356_,306,1,2,0.001053242567004035,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L15375_,305,1,2,2.397478124425722e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L15611_,373,2,3,5.096074092965442e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L15633_,302,4,6,0.00245695613924846,3,JC,1,1,NA,NA,NA,1,NA,NA
L15791_,405,3,3,4.928157430770368e-4,2,JC,1,1,NA,NA,NA,1,NA,NA
L15900_,373,5,6,0.0023293056426728427,4,JC,1,1,NA,NA,NA,1,NA,NA
L15902_,304,4,5,0.0019188325872467418,1,F81,1,1,NA,NA,NA,1,NA,NA
L16120_,357,2,3,0.0016098910475348092,1,F81,1,1,NA,NA,NA,1,NA,NA
L16125_,306,2,3,0.0014933615851047046,1,JC,1,1,NA,NA,NA,1,NA,NA
L16393_,301,1,2,5.210527673404813e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L16759_,381,5,5,9.320435493189519e-4,0.6666666666666666,F81,1,1,NA,NA,NA,1,NA,NA
L16777_,304,4,6,0.0022291819146340775,1,JC,1,1,NA,NA,NA,1,NA,NA
L16857_,328,1,2,1.6837930980219366e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L16862_,301,1,2,1.2381451897199556e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L17048_,376,1,2,9.790767668709431e-5,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L17548_,305,4,5,0.0027429637692427304,3,F81,1,1,NA,NA,NA,1,NA,NA
L17686_,300,1,2,1.2424146558914035e-4,0,F81,1,1,NA,NA,NA,1,NA,NA
L17791_,302,1,2,2.4221097489917398e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L17804_,302,3,4,0.0021421961223393924,2,JC,1,1,NA,NA,NA,1,NA,NA
L18008_,238,2,3,0.001363180801928778,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L18168_,302,2,3,5.352634044352028e-4,1,F81,1,1,NA,NA,NA,1,NA,NA
L18329_,304,4,5,0.0018530181046563746,3,JC,1,1,NA,NA,NA,1,NA,NA
L18340_,303,3,4,8.545232517427777e-4,2,JC,1,1,NA,NA,NA,1,NA,NA
L18471_,404,2,2,2.718001041477034e-4,1,JC,1,1,NA,NA,NA,1,NA,NA
L18523_,303,1,2,7.178906198851717e-4,0,F81,1,1,NA,NA,NA,1,NA,NA
L18737_,388,4,5,0.0013092921349802083,3,JC,1,1,NA,NA,NA,1,NA,NA
L18775_,388,1,2,6.288309040602618e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L18919_,303,2,3,6.541287250182888e-4,1,JC,1,1,NA,NA,NA,1,NA,NA
L19015_,301,1,2,6.242315331504776e-4,Inf,F81,1,1,NA,NA,NA,1,NA,NA
L19024_,308,1,2,4.035801646786192e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L19340_,356,3,4,3.6301927907167334e-4,Inf,K80,1,1,NA,NA,NA,1,22026.465794806718,NA
L19491_,398,2,3,2.3086248849986672e-4,1,F81,1,1,NA,NA,NA,1,NA,NA
L19702_,338,4,4,3.849752842816168e-4,1,F81,1,1,NA,NA,NA,1,NA,NA
L19989_,304,2,3,8.170073700873177e-4,1,JC,1,1,NA,NA,NA,1,NA,NA
L20005_,310,2,3,2.313756087061799e-4,1,JC,1,1,NA,NA,NA,1,NA,NA
L20053_,301,1,2,2.4304331501910238e-4,Inf,F81,1,1,NA,NA,NA,1,NA,NA
L2006_,415,2,3,3.8097591614411183e-4,Inf,F81,1,1,NA,NA,NA,1,NA,NA
L20273_,300,1,2,1.8463662247275025e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L20328_,304,1,2,1.8212455958196457e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L20453_,344,4,5,0.0016970229682419982,1,JC,1,1,NA,NA,NA,1,NA,NA
L20475_,345,5,6,0.0013971842206814136,1.5,JC,1,1,NA,NA,NA,1,NA,NA
L2050_,302,1,2,0.0017137568978715138,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L20504_,378,5,4,8.367480146498894e-4,4,JC,1,1,NA,NA,NA,1,NA,NA
L20603_,301,1,2,0.0011097449478230713,0,JC,1,1,NA,NA,NA,1,NA,NA
L20618_,361,2,3,4.452903535472343e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L20639_,303,2,3,0.0016623636876008734,1,JC,1,1,NA,NA,NA,1,NA,NA
L20881_,301,3,4,0.0010782181027144614,2,F81,1,1,NA,NA,NA,1,NA,NA
L21071_,302,2,3,7.340592045882985e-4,1,JC,1,1,NA,NA,NA,1,NA,NA
L21094_,341,2,3,0.0015365271663949566,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L21119_,302,2,3,0.001433272018919876,1,JC,1,1,NA,NA,NA,1,NA,NA
L21203_,303,1,2,7.651427384025937e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L21236_,303,1,2,2.9888388218851316e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L21383_,302,3,4,5.421184320266889e-4,0.5,JC,1,1,NA,NA,NA,1,NA,NA
L21460_,301,2,3,2.4648260721276896e-4,Inf,F81,1,1,NA,NA,NA,1,NA,NA
L21484_,403,2,3,1.8251002213464572e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L21515_,466,4,5,3.914080447156256e-4,3,JC,1,1,NA,NA,NA,1,NA,NA
L2166_,303,2,3,0.001175609936608152,Inf,F81,1,1,NA,NA,NA,1,NA,NA
L21668_,302,4,5,0.0017497457927268159,1,F81,1,1,NA,NA,NA,1,NA,NA
L21977_,308,3,4,0.0014044141930355835,Inf,K80,1,1,NA,NA,NA,1,22026.465794806718,NA
L2204_,303,3,4,4.286848824532389e-4,2,JC,1,1,NA,NA,NA,1,NA,NA
L22398_,300,2,3,4.262172500071899e-4,1,F81,1,1,NA,NA,NA,1,NA,NA
L22430_,318,2,3,0.0011075246688257532,0,F81,1,1,NA,NA,NA,1,NA,NA
L22446_,418,2,3,1.3287216471242374e-4,1,F81,1,1,NA,NA,NA,1,NA,NA
L22539_,300,3,4,0.0015058525782980067,Inf,K80,1,1,NA,NA,NA,1,22026.465794806718,NA
L22546_,301,1,2,1.2381451897199556e-4,Inf,F81,1,1,NA,NA,NA,1,NA,NA
L22595_,302,3,3,0.0011619271767568864,2,JC,1,1,NA,NA,NA,1,NA,NA
L227_,301,2,3,3.0781665133315563e-4,1,JC,1,1,NA,NA,NA,1,NA,NA
L22843_,303,3,4,0.0013088267526693178,Inf,K80,1,1,NA,NA,NA,1,22026.465794806718,NA
L22862_,405,2,3,1.8158592075674876e-4,1,JC,1,1,NA,NA,NA,1,NA,NA
L23569_,388,2,3,2.3520482236078565e-4,1,F81,1,1,NA,NA,NA,1,NA,NA
L23589_,300,3,3,0.0012303356245146819,0.5,F81,1,1,NA,NA,NA,1,NA,NA
L23716_,305,1,2,1.2213567803678207e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L2386_,380,2,4,3.358654734801524e-4,Inf,HKY,1,1,NA,NA,NA,1,22026.465794806718,NA
L24027_,311,2,3,2.953734978484285e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L2422_,300,1,2,4.14713410600788e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L2428_,304,1,2,1.2255110551309765e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L24331_,374,1,2,1.451073726750612e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L24339_,342,2,3,2.1604349005697522e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L24540_,303,2,3,5.402681984702838e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L24715_,301,3,4,8.924963242564679e-4,2,JC,1,1,NA,NA,NA,1,NA,NA
L2474_,303,5,5,0.003233069651330603,4,JC,1,1,NA,NA,NA,1,NA,NA
L24878_,304,4,5,0.0019443640675619706,1,F81,1,1,NA,NA,NA,1,NA,NA
L25145_,380,2,3,0.0013524784166986004,1,JC,1,1,NA,NA,NA,1,NA,NA
L25340_,305,3,3,0.0015877638144781666,2,F81,1,1,NA,NA,NA,1,NA,NA
L25434_,303,1,2,0.001024744738932045,0,F81,1,1,NA,NA,NA,1,NA,NA
L25498_,300,2,3,0.001926317908601996,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L26073_,346,2,3,0.001547916914889392,1,F81,1,1,NA,NA,NA,1,NA,NA
L26123_,395,3,4,3.245128516187732e-4,Inf,K80,1,1,NA,NA,NA,1,22026.465794806718,NA
L2656_,301,1,2,9.910893671415757e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L26572_,300,1,2,3.019757844180495e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L26711_,406,1,2,1.3521368817448885e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L26956_,302,3,4,5.421184320266889e-4,Inf,K80,1,1,NA,NA,NA,1,22026.465794806718,NA
L27101_,306,1,2,3.516443883416361e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L27239_,307,2,3,6.908113663743354e-4,1,JC,1,1,NA,NA,NA,1,NA,NA
L27289_,301,1,2,1.840021323611601e-4,0,F81,1,1,NA,NA,NA,1,NA,NA
L27624_,369,4,4,0.00125034557581643,1,JC,1,1,NA,NA,NA,1,NA,NA
L27726_,301,1,2,8.16831895995804e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L27817_,350,1,2,8.124417406662415e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L28149_,304,3,4,0.001984647069837109,2,JC,1,1,NA,NA,NA,1,NA,NA
L28167_,302,7,7,0.0022033201183634765,6,HKY,1,1,NA,NA,NA,1,12.734777835854114,NA
L28412_,301,2,3,3.6341854179743136e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L29173_,304,1,2,2.9786727034433454e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L2922_,304,5,7,0.0018507486397394653,4,F81,1,1,NA,NA,NA,1,NA,NA
L2936_,302,1,2,3.552448428297757e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L29454_,301,1,2,2.4304331501910238e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L29471_,264,1,2,5.743422549093942e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L29516_,432,1,2,8.537920621054671e-5,0,JC,1,1,NA,NA,NA,1,NA,NA
L29533_,300,3,4,4.912139426533605e-4,0.5,JC,1,1,NA,NA,NA,1,NA,NA
L29648_,325,2,3,5.390735665965024e-4,1,JC,1,1,NA,NA,NA,1,NA,NA
L30092_,367,1,2,9.349527967984525e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L30670_,300,3,4,6.108538724799401e-4,2,F81,1,1,NA,NA,NA,1,NA,NA
L30738_,306,3,4,2.4457318035299685e-4,2,JC,1,1,NA,NA,NA,1,NA,NA
L30858_,301,3,3,9.412196303334107e-4,2,F81,1,1,NA,NA,NA,1,NA,NA
L30919_,304,2,3,5.384305515367114e-4,1,F81,1,1,NA,NA,NA,1,NA,NA
L31153_,254,3,3,4.216111851739967e-4,2,JC,1,1,NA,NA,NA,1,NA,NA
L31162_,303,2,3,4.241304613913187e-4,1,JC,1,1,NA,NA,NA,1,NA,NA
L31433_,303,1,2,0.001243356949904215,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L3147_,419,4,4,0.0014256606243599622,Inf,K80,1,1,NA,NA,NA,1,22026.465794806718,NA
L31499_,300,2,3,1.8693739035403065e-4,1,F81,1,1,NA,NA,NA,1,NA,NA
L31532_,397,5,6,0.0010529877395676415,1.5,JC,1,1,NA,NA,NA,1,NA,NA
L32168_,279,1,2,9.452321378926884e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L32210_,300,1,2,3.019757844180495e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L32263_,390,1,2,0.001134278565471226,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L32268_,301,2,3,0.0018297034470306011,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L32400_,371,3,4,6.196299316836052e-4,2,JC,1,1,NA,NA,NA,1,NA,NA
L32455_,343,6,8,0.002325761958789482,0.2,JC,1,1,NA,NA,NA,1,NA,NA
L32623_,328,3,4,2.8273036754947786e-4,0.5,JC,1,1,NA,NA,NA,1,NA,NA
L32668_,300,3,4,0.00200972074429841,0.5,JC,1,1,NA,NA,NA,1,NA,NA
L32673_,304,3,4,0.0010984210197840603,2,JC,1,1,NA,NA,NA,1,NA,NA
L32779_,300,1,2,9.09378505076069e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L33033_,379,3,4,0.0012087760577355565,Inf,K80,1,1,NA,NA,NA,1,22026.465794806718,NA
L33072_,301,2,3,0.0017752479872975475,1,JC,1,1,NA,NA,NA,1,NA,NA
L33088_,302,2,3,0.0010905206393455734,1,JC,1,1,NA,NA,NA,1,NA,NA
L33142_,301,2,3,0.0011051592248981826,Inf,F81,1,1,NA,NA,NA,1,NA,NA
L33219_,306,2,3,2.4231904965849922e-4,1,JC,1,1,NA,NA,NA,1,NA,NA
L3324_,301,2,3,4.2016686299292937e-4,1,JC,1,1,NA,NA,NA,1,NA,NA
L33411_,306,4,5,0.0014775826702432208,3,JC,1,1,NA,NA,NA,1,NA,NA
L33441_,339,1,2,1.0951375386276812e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L33858_,376,2,3,2.435819804174712e-4,1,JC,1,1,NA,NA,NA,1,NA,NA
L33888_,300,1,2,3.019757844180495e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L33919_,302,3,4,0.0019919567676259897,2,JC,1,1,NA,NA,NA,1,NA,NA
L33965_,303,3,4,0.0010070963573171044,2,JC,1,1,NA,NA,NA,1,NA,NA
L34095_,302,2,3,4.741394084111189e-4,1,JC,1,1,NA,NA,NA,1,NA,NA
L34522_,301,1,2,1.2381451897199556e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L34800_,306,2,3,1.8314811892793545e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L35025_,375,4,5,4.7893792772515914e-4,1,JC,1,1,NA,NA,NA,1,NA,NA
L35691_,256,2,3,3.499009591326105e-4,1,JC,1,1,NA,NA,NA,1,NA,NA
L35700_,367,1,2,2.453024579306285e-4,Inf,F81,1,1,NA,NA,NA,1,NA,NA
L35863_,305,3,4,0.002162253855614142,2,JC,1,1,NA,NA,NA,1,NA,NA
L35979_,303,2,3,5.334365668774035e-4,1,F81,1,1,NA,NA,NA,1,NA,NA
L36022_,311,3,4,0.002710453617217005,Inf,K80,1,1,NA,NA,NA,1,22026.465794806718,NA
L36146_,418,3,4,3.078545847029387e-4,Inf,K80,1,1,NA,NA,NA,1,22026.465794806718,NA
L36214_,303,1,2,7.178906198851717e-4,Inf,F81,1,1,NA,NA,NA,1,NA,NA
L36276_,302,2,3,0.0018148685548459332,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L36429_,300,2,3,3.646717091829398e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L3655_,401,3,4,6.22001710718011e-4,2,JC,1,1,NA,NA,NA,1,NA,NA
L36734_,285,3,3,7.304332557833283e-4,2,JC,1,1,NA,NA,NA,1,NA,NA
L36876_,316,1,2,0.001190534595823317,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L36909_,318,1,2,5.415768551715175e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L36979_,301,1,2,2.4304331501910238e-4,0,F81,1,1,NA,NA,NA,1,NA,NA
L37326_,300,1,2,4.6935664778119694e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L37388_,307,1,2,4.0493902045194785e-4,0,F81,1,1,NA,NA,NA,1,NA,NA
L37415_,303,1,2,9.427651598174815e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L37466_,309,3,4,0.0019492274777476212,Inf,K80,1,1,NA,NA,NA,1,22026.465794806718,NA
L37580_,301,2,3,1.8629499382360443e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L37693_,303,2,3,5.402681984702838e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L37869_,301,3,5,0.002316936507800028,0.5,JC,1,1,NA,NA,NA,1,NA,NA
L37916_,301,1,2,4.132882786055963e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L37994_,291,3,4,0.0011527361002439031,2,JC,1,1,NA,NA,NA,1,NA,NA
L38123_,303,2,3,1.8502335564050818e-4,1,JC,1,1,NA,NA,NA,1,NA,NA
L38144_,302,2,3,0.0019182652210175146,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L38359_,312,1,2,1.1930471861208844e-4,Inf,F81,1,1,NA,NA,NA,1,NA,NA
L38390_,301,1,2,0.0011470039465877923,0,F81,1,1,NA,NA,NA,1,NA,NA
L38435_,303,6,9,0.005399266168906398,2,K80,1,1,NA,NA,NA,1,6.015001198960095,NA
L38613_,426,2,3,2.542182588054148e-4,1,JC,1,1,NA,NA,NA,1,NA,NA
L38682_,304,2,3,4.1587944602361373e-4,Inf,F81,1,1,NA,NA,NA,1,NA,NA
L38746_,319,1,2,3.892132332499305e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L38806_,343,3,4,0.0017482035830659684,Inf,K80,1,1,NA,NA,NA,1,22026.465794806718,NA
L38856_,258,2,3,2.7800945232137893e-4,Inf,F81,1,1,NA,NA,NA,1,NA,NA
L38905_,302,3,4,0.0018885601014544083,2,JC,1,1,NA,NA,NA,1,NA,NA
L38944_,302,1,2,9.031498851782878e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L39175_,313,1,2,1.1891097366617396e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L39312_,300,1,2,8.650887233614218e-4,0,F81,1,1,NA,NA,NA,1,NA,NA
L39331_,304,1,2,3.540365270378377e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L39436_,303,1,2,2.4138431628177064e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L3946_,303,1,2,2.4138431628177064e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L39492_,302,3,4,0.001176208484239149,Inf,HKY,1,1,NA,NA,NA,1,22026.465794806718,NA
L39592_,307,1,2,1.213132155584199e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L39841_,303,2,3,0.0014346426345048632,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L39850_,313,2,3,6.259341530483324e-4,1,JC,1,1,NA,NA,NA,1,NA,NA
L39981_,304,1,2,2.4056328119237687e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L40038_,370,1,2,1.4873505699193774e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L40083_,305,1,2,0.0010946975587000467,0,JC,1,1,NA,NA,NA,1,NA,NA
L40447_,303,3,4,0.002129761149080434,0.5,F81,1,1,NA,NA,NA,1,NA,NA
L40574_,302,3,4,0.001175609936608152,0.5,F81,1,1,NA,NA,NA,1,NA,NA
L40643_,300,1,2,0.0014615627965833596,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L40645_,305,1,2,2.397478124425722e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L40692_,303,2,3,1.8502335564050818e-4,Inf,F81,1,1,NA,NA,NA,1,NA,NA
L40891_,323,4,4,0.0012694284640821557,3,JC,1,1,NA,NA,NA,1,NA,NA
L41562_,305,5,4,0.0019496473049575211,0.6666666666666666,F81,1,1,NA,NA,NA,1,NA,NA
L42114_,302,9,5,0.0024906600249066,3.5,K80,1,1,NA,NA,NA,1,7.091533459657266,NA
L42336_,302,1,2,8.140345264889691e-4,Inf,F81,1,1,NA,NA,NA,1,NA,NA
L42383_,301,7,6,0.002437884949943968,0.75,JC,1,1,NA,NA,NA,1,NA,NA
L42512_,300,1,2,1.2424146558914035e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L42917_,301,1,2,2.4304331501910238e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L43354_,295,2,3,0.0017641820160868521,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L434_,308,1,2,4.567564693172722e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L43438_,303,1,2,1.8274614510954806e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L43441_,303,3,4,3.677695007500562e-4,Inf,F81,1,1,NA,NA,NA,1,NA,NA
L43469_,301,2,3,5.371027975775919e-4,1,F81,1,1,NA,NA,NA,1,NA,NA
L43486_,302,3,4,0.0010705268088704056,2,F81,1,1,NA,NA,NA,1,NA,NA
L43537_,312,1,2,4.5070671475677855e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L43589_,346,2,3,3.177250883672902e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L43662_,304,2,3,2.4396747856774066e-4,0,JC,1,1,NA,NA,NA,1,NA,NA
L43990_,401,3,4,8.254960975578542e-4,Inf,K80,1,1,NA,NA,NA,1,22026.465794806718,NA
L44127_,387,2,3,5.083812106906064e-4,1,F81,1,1,NA,NA,NA,1,NA,NA
L44145_,317,6,5,0.001776181562811572,1,JC,1,1,NA,NA,NA,1,NA,NA
L4467_,306,3,3,3.048711764308095e-4,2,JC,1,1,NA,NA,NA,1,NA,NA
L44741_,305,4,2,4.885427121471283e-4,0.3333333333333333,JC,1,1,NA,NA,NA,1,NA,NA
L4479_,301,1,2,1.840021323611601e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L45230_,301,5,6,0.0018640963689672664,4,F81,1,1,NA,NA,NA,1,NA,NA
L45344_,304,4,3,9.554447300187798e-4,1,JC,1,1,NA,NA,NA,1,NA,NA
L45482_,304,2,3,0.0010621095811135129,1,F81,1,1,NA,NA,NA,1,NA,NA
L45787_,397,1,2,0.0011314338175870073,0,JC,1,1,NA,NA,NA,1,NA,NA
L45803_,355,2,3,3.5440161487229697e-4,Inf,JC,1,1,NA,NA,NA,1,NA,NA
L45879_,302,6,7,0.0012830326642064734,1,JC,1,1,NA,NA,NA,1,NA,NA
L4622_,306,7,6,0.003920496810405068,6,K80,1,1,NA,NA,NA,1,14.089763106809206,NA
